,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price
0,1,1,1,0,2,1,1,1,2,1,0,0,3,0,0,34649
1,5,5,1,0,2,1,1,1,2,1,0,0,3,0,0,38999
2,5,5,1,0,2,1,1,1,2,1,0,0,3,0,0,39999
3,1,1,2,0,3,1,1,0,2,0,1,0,3,0,0,69990
4,1,1,0,7,2,1,1,3,2,1,0,0,3,0,0,26990
5,1,1,0,7,2,1,1,3,2,1,0,0,3,0,0,22990
6,1,1,0,7,2,1,1,3,2,0,0,0,3,0,0,21990
7,1,1,2,0,3,1,1,1,2,0,1,0,3,0,0,58799
8,5,5,2,0,2,1,1,1,2,0,0,0,3,0,0,49999
9,7,7,8,0,2,1,1,3,2,0,2,0,3,0,0,59990
10,7,7,8,0,2,1,1,3,2,0,3,0,3,0,0,93700
11,7,7,8,0,2,1,1,3,2,0,2,0,3,0,0,72990
12,2,2,0,7,2,1,1,3,2,1,0,0,3,0,0,17490
14,1,1,1,1,2,1,1,0,2,1,0,0,3,0,0,35990
15,4,4,1,1,3,1,1,0,2,1,0,0,0,1,0,56490
16,4,4,2,1,3,1,1,0,2,1,0,0,0,0,0,65390
17,5,5,0,7,2,1,1,0,2,1,0,2,3,0,0,31999
18,4,4,0,7,3,1,1,0,2,1,0,2,3,0,0,32490
19,5,5,0,7,2,1,1,0,2,1,0,2,3,0,0,31799
20,1,1,0,7,2,1,1,0,2,1,0,0,3,0,0,29890
21,1,1,0,7,2,1,1,1,2,1,0,0,0,0,0,23990
22,4,4,1,4,2,1,1,1,2,1,0,0,3,0,0,32955
23,4,4,2,4,2,1,1,1,2,0,1,0,3,0,0,46200
24,1,1,1,1,2,1,1,0,2,1,0,2,3,0,0,34429
25,5,5,1,0,3,1,1,0,2,0,0,2,1,0,1,37990
26,1,1,1,1,2,1,1,0,2,0,0,0,0,0,1,35990
27,1,1,1,0,3,1,1,0,2,1,0,2,3,0,0,33980
28,4,4,1,1,3,1,1,0,2,1,0,2,0,0,1,39990
29,3,3,1,0,3,1,1,0,2,1,0,2,0,0,1,39490
30,4,4,1,1,3,1,1,0,2,1,0,0,0,1,1,53990
31,7,7,1,1,3,1,1,0,2,1,0,2,0,0,0,38990
32,1,1,1,1,3,1,1,0,2,1,0,2,0,0,0,37990
33,1,1,1,1,3,1,1,0,2,1,0,0,0,0,1,37890
34,5,5,1,1,3,1,1,0,2,1,0,2,0,0,0,38990
35,5,5,1,0,3,1,1,0,2,1,0,2,3,0,0,37990
36,3,3,1,1,3,1,1,0,2,1,0,2,0,0,1,41990
37,1,1,1,1,3,1,1,0,2,1,0,0,0,0,0,45990
38,5,5,1,1,3,1,1,0,2,1,0,2,0,0,0,39990
39,3,3,1,1,3,1,1,0,2,1,0,2,3,0,0,42490
40,3,3,1,0,2,1,1,0,2,1,0,2,0,0,1,36990
41,5,5,1,1,3,1,1,0,2,1,0,0,0,1,1,53990
42,1,1,1,1,3,1,1,0,2,1,0,2,3,0,0,36990
43,5,5,1,0,2,1,1,0,2,1,0,0,1,0,0,38940
44,3,3,1,0,2,1,1,0,2,1,0,0,0,0,1,39490
46,5,5,1,0,3,1,1,0,2,1,0,0,1,0,1,39999
47,3,3,1,1,3,1,1,0,2,1,0,2,0,0,0,42990
48,3,3,1,1,3,1,1,0,2,1,0,0,0,1,0,49990
49,3,3,1,1,3,1,1,0,2,1,0,2,0,0,1,41490
50,3,3,1,1,3,1,1,0,2,1,0,2,3,0,0,41990
51,5,5,1,1,3,1,1,0,2,1,0,2,0,0,1,41990
52,1,1,1,1,3,1,1,0,2,1,0,0,0,0,0,38490
53,5,5,1,1,2,1,1,0,2,1,0,2,0,0,1,38990
54,5,5,1,1,2,1,1,0,2,1,0,0,0,0,1,44990
55,5,5,1,0,2,1,1,0,2,1,0,2,3,0,0,36490
56,5,5,1,0,3,1,1,0,2,0,0,0,3,0,0,38970
57,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,44900
58,6,6,1,0,2,1,1,0,2,1,0,2,3,0,0,38990
59,3,3,1,1,2,1,1,0,2,1,0,2,3,0,0,44427
60,1,1,1,0,2,1,1,0,2,1,0,0,0,0,0,35990
61,5,5,1,0,2,1,1,0,2,1,0,0,0,0,1,40200
62,5,5,1,0,2,1,1,0,2,0,0,0,3,0,0,40990
63,3,3,1,0,2,1,1,0,2,1,0,2,0,0,0,42490
64,7,7,0,7,2,1,1,3,2,0,0,0,3,0,0,23990
65,3,3,1,1,2,1,1,0,2,1,0,0,3,1,0,71999
66,1,1,1,1,2,1,1,0,2,1,0,0,0,0,0,39990
67,5,5,1,0,2,1,1,0,2,1,0,0,0,0,1,41998
68,1,1,1,1,2,1,1,0,2,0,0,0,3,0,0,41990
69,5,5,1,0,2,1,1,0,2,1,0,0,1,0,1,39999
70,1,1,1,0,2,1,1,0,2,0,0,0,3,0,0,39990
71,5,5,1,1,2,1,1,0,2,1,0,0,3,0,0,39998
72,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,42490
73,5,5,1,0,2,1,1,0,2,0,0,0,3,0,0,41990
74,1,1,1,1,2,1,1,0,2,0,0,0,3,0,0,48490
75,4,4,1,1,2,1,1,0,2,1,0,2,0,0,1,44376
76,3,3,1,1,2,1,1,0,2,0,0,0,3,0,0,43900
77,3,3,1,1,2,1,1,0,2,1,0,0,0,0,0,46690
79,3,3,1,0,2,1,1,0,2,1,0,2,0,0,0,39990
80,5,5,1,1,2,1,1,0,2,1,0,2,3,0,0,43990
81,1,1,1,1,2,1,1,0,2,1,0,2,0,0,0,36990
82,3,3,1,1,3,1,1,0,2,1,0,0,0,0,0,48500
83,1,1,1,1,3,1,1,0,2,1,0,0,3,0,0,48990
84,1,1,0,7,2,4,4,3,2,0,0,0,3,0,0,23490
85,4,4,1,5,2,1,1,0,2,1,0,0,0,1,1,54238
86,1,1,1,0,3,1,1,0,2,1,0,0,0,0,0,37990
87,4,4,1,1,3,1,1,0,2,1,0,2,0,0,1,42990
90,1,1,1,1,3,1,1,0,2,1,0,0,0,0,0,42990
91,1,1,1,1,3,5,5,0,2,0,0,0,0,1,1,51990
92,1,1,1,1,3,1,1,0,2,1,0,0,0,0,0,48990
94,5,5,1,0,3,1,1,0,2,1,0,2,0,0,0,38990
95,3,3,1,1,3,1,1,0,2,1,0,2,3,0,0,45990
96,4,4,1,0,3,1,1,0,2,1,0,2,0,0,1,42490
97,4,4,1,1,3,1,1,0,2,1,0,2,0,0,1,43970
98,1,1,1,0,2,1,1,0,2,1,0,2,0,0,1,39990
99,6,6,1,1,3,1,1,0,2,1,0,2,3,0,0,48990
100,4,4,1,1,3,1,1,0,2,1,0,0,0,0,1,54990
